Month/Year,Book,Team ,ppm,wpm,pgw,On
1/1/1999,A Clash of Kings,Giants,25.6,10630.1,0,on season
1/1/2001,A Feast for Crows,Giants,12.55,4917.2,0,on season
1/1/2002,A Feast for Crows,Giants,12.55,4917.2,0,on season
1/1/2005,A Feast for Crows,Giants,12.55,4917.2,0,on season
1/1/2006,A Dance with Dragons,Giants,15.304,6011.42,0,on season
1/1/2008,A Dance with Dragons,Giants,15.304,6011.42,0,on season
1/1/2009,A Dance with Dragons,Giants,15.304,6011.42,0,on season
11/1/1999,A Storm of Swords,Giants,46.3,19743.047619,0,on season
11/1/2004,A Feast for Crows,Giants,12.55,4917.2,0,on season
12/1/2003,A Feast for Crows,Giants,12.55,4917.2,0,on season
12/1/2004,A Feast for Crows,Giants,12.55,4917.2,0,on season
1/1/2001,A Feast for Crows,Jets,12.55,4917.2,0,on season
1/1/2006,A Dance with Dragons,Jets,15.304,6011.42,0,on season
1/1/2011,A Dance with Dragons,Jets,15.304,6011.42,0,on season
10/1/2007,A Dance with Dragons,Jets,15.304,6011.42,0,on season
11/1/1996,A Clash of Kings,Jets,25.6,10630.1,0,on season
11/1/2005,A Dance with Dragons,Jets,15.304,6011.42,0,on season
12/1/1996,A Clash of Kings,Jets,25.6,10630.1,0,on season
9/1/1996,A Clash of Kings,Jets,25.6,10630.1,0,on season
9/1/1999,A Storm of Swords,Jets,46.3,19743.047619,0,on season
9/1/2003,A Feast for Crows,Jets,12.55,4917.2,0,on season
1/1/2004,A Feast for Crows,Giants,12.55,4917.2,1,on season
1/1/2010,A Dance with Dragons,Giants,15.304,6011.42,1,on season
10/1/2000,A Storm of Swords,Giants,46.3,19743.047619,1,on season
8/1/1997,A Clash of Kings,Giants,25.6,10630.1,1,on season
1/1/1999,A Clash of Kings,Jets,25.6,10630.1,1,on season
1/1/2005,A Feast for Crows,Jets,12.55,4917.2,1,on season
1/1/1998,A Clash of Kings,Jets,25.6,10630.1,0.5,on season
1/1/2002,A Feast for Crows,Jets,12.55,4917.2,0.5,on season
9/1/2001,A Feast for Crows,Jets,12.55,4917.2,0.5,on season
10/1/1996,A Clash of Kings,Giants,25.6,10630.1,0.333333333333333,on season
10/1/1998,A Clash of Kings,Giants,25.6,10630.1,0.333333333333333,on season
10/1/2002,A Feast for Crows,Giants,12.55,4917.2,0.333333333333333,on season
11/1/1997,A Clash of Kings,Giants,25.6,10630.1,0.333333333333333,on season
11/1/2007,A Dance with Dragons,Giants,15.304,6011.42,0.333333333333333,on season
9/1/1999,A Storm of Swords,Giants,46.3,19743.047619,0.333333333333333,on season
9/1/2006,A Dance with Dragons,Giants,15.304,6011.42,0.333333333333333,on season
1/1/2004,A Feast for Crows,Jets,12.55,4917.2,0.333333333333333,on season
10/1/2002,A Feast for Crows,Jets,12.55,4917.2,0.333333333333333,on season
10/1/2005,A Feast for Crows,Jets,12.55,4917.2,0.333333333333333,on season
11/1/2007,A Dance with Dragons,Jets,15.304,6011.42,0.333333333333333,on season
12/1/1997,A Clash of Kings,Jets,25.6,10630.1,0.333333333333333,on season
9/1/1998,A Clash of Kings,Jets,25.6,10630.1,0.333333333333333,on season
9/1/2005,A Feast for Crows,Jets,12.55,4917.2,0.333333333333333,on season
10/1/2001,A Feast for Crows,Giants,12.55,4917.2,0.25,on season
10/1/2003,A Feast for Crows,Giants,12.55,4917.2,0.25,on season
11/1/2006,A Dance with Dragons,Giants,15.304,6011.42,0.25,on season
11/1/2009,A Dance with Dragons,Giants,15.304,6011.42,0.25,on season
12/1/1996,A Clash of Kings,Giants,25.6,10630.1,0.25,on season
12/1/2008,A Dance with Dragons,Giants,15.304,6011.42,0.25,on season
9/1/1997,A Clash of Kings,Giants,25.6,10630.1,0.25,on season
10/1/1996,A Clash of Kings,Jets,25.6,10630.1,0.25,on season
10/1/1999,A Storm of Swords,Jets,46.3,19743.047619,0.25,on season
10/1/2009,A Dance with Dragons,Jets,15.304,6011.42,0.25,on season
11/1/2009,A Dance with Dragons,Jets,15.304,6011.42,0.25,on season
12/1/2000,A Feast for Crows,Jets,12.55,4917.2,0.25,on season
12/1/2005,A Dance with Dragons,Jets,15.304,6011.42,0.25,on season
12/1/2008,A Dance with Dragons,Jets,15.304,6011.42,0.25,on season
12/1/2010,A Dance with Dragons,Jets,15.304,6011.42,0.25,on season
9/1/2002,A Feast for Crows,Jets,12.55,4917.2,0.25,on season
9/1/2007,A Dance with Dragons,Jets,15.304,6011.42,0.25,on season
11/1/1998,A Clash of Kings,Giants,25.6,10630.1,0.2,on season
11/1/2003,A Feast for Crows,Giants,12.55,4917.2,0.2,on season
9/1/2004,A Feast for Crows,Jets,12.55,4917.2,1,on season
1/1/2000,A Storm of Swords,Giants,46.3,19743.047619,0.666666666666667,on season
9/1/2001,A Feast for Crows,Giants,12.55,4917.2,0.666666666666667,on season
9/1/2003,A Feast for Crows,Giants,12.55,4917.2,0.666666666666667,on season
9/1/2004,A Feast for Crows,Giants,12.55,4917.2,0.666666666666667,on season
9/1/2005,A Feast for Crows,Giants,12.55,4917.2,0.666666666666667,on season
10/1/1997,A Clash of Kings,Jets,25.6,10630.1,0.666666666666667,on season
10/1/2003,A Feast for Crows,Jets,12.55,4917.2,0.666666666666667,on season
10/1/2008,A Dance with Dragons,Jets,15.304,6011.42,0.666666666666667,on season
11/1/2006,A Dance with Dragons,Jets,15.304,6011.42,0.666666666666667,on season
9/1/2006,A Dance with Dragons,Jets,15.304,6011.42,0.666666666666667,on season
9/1/2010,A Dance with Dragons,Jets,15.304,6011.42,0.666666666666667,on season